BiGG	SEED
HDECAACBP	rxn31573
HDH	rxn00859
HDHh	rxn00859
HISTD	rxn00859
HEPT1	rxn08710
HEPT2	rxn08711
HEPT3	rxn08712
HETZK	rxn03075
HETZK_1	rxn03075
HEXDPtm	rxn13313
HEXSabc	rxn05585
HEXt2rpp	rxn08714
HG2abcpp	rxn08715
HG2t3pp	rxn08716
EX_hg2_e	rxn05586
HG2tex	rxn05586
HG2tppi	rxn05586
HGt	rxn05586
EX_hgentis_e	rxn31930
HGENTISt	rxn31930
HGENTIStex	rxn31930
HGENTISth	rxn31930
HGNTOR	rxn01825
HICITDm	rxn03324
HISDr	rxn00867
HISTP	rxn02160
HISTP_1	rxn02160
HP	rxn02160
HPh	rxn02160
HISabc	rxn05164
HISabcpp	rxn05164
HISt2r1	rxn13314
HISt6	rxn13314
r2416	rxn13314
EX_his__L_e	rxn08721
HIStex	rxn08721
HIStiDF	rxn08721
SK_his__L_c	rxn08721
r1067	rxn08721
HIUH	rxn04453
HIUH_c	rxn04453
HURH	rxn04453
HKYNH	rxn01930
HKt	rxn08762
HKtpp	rxn08762
Kabc	rxn08762
Kabcpp	rxn08762
HMBS	rxn00060
PPBNGD	rxn00060
HMGCOAtm	rxn09743
HMGCOAtx	rxn09743
HMPK1	rxn02484
HMPK1_1	rxn02484
HMPK_h	rxn02484
HMSD2	rxn03654
HOMt2pp	rxn08722
EX_hom__L_e	rxn08723
HOMtex	rxn08723
r2535	rxn08723
r2535m	rxn08723
HOPNTAL	rxn00540
HOXPRm	rxn01280
HOXPRx	rxn01280
TRSARr	rxn01280
HPCLx	rxn41783
HPCLx_1	rxn41783
HPHL	rxn02181
PRPNCOAHYDm	rxn02181
PRPNCOAHYDx	rxn02181
HPI	rxn01015
HPYRI	rxn01015
HPPPNt2r	rxn08725
HPPPNt2rpp	rxn08725
EX_3hpppn_e	rxn08726
HPPPNtex	rxn08726
HPROa	rxn02356
HPROx	rxn02356
HPROxm	rxn02356
PY5CCR	rxn02356
HPROb	rxn02358
HPROym	rxn02358
PY5CCR2	rxn02358
HPYRDC	rxn01014
HPYRDCm	rxn01014
HMR_8776	rxn33611
HPYRtp	rxn33611
HQNt6	rxn05678
HSD3B12r	rxn01337
HSD3B13	rxn02385
HSD3B13r	rxn02385
HSDA	rxn19903
HSDH	rxn01302
HSDy	rxn01302
HSDH_h	rxn01301
HSDH_m	rxn01301
HSDxi	rxn01301
HSK	rxn01300
HSK_1	rxn01300
HSK_2	rxn01300
HSPMS	rxn00015
HSST	rxn01304
HTDCACBP	rxn31575
EX_caproic_e	rxn08732
EX_hxa_e	rxn08732
HMR_0167	rxn08732
HXAt1	rxn08732
HXAt2	rxn08732
HXAt3	rxn08732
HXAtex	rxn08732
HXCT	rxn08733
HYD1	rxn08734
HYD1pp	rxn08734
HYD2	rxn08735
HYD2pp	rxn08735
HYD3	rxn08736
HYD3pp	rxn08736
HYDA	rxn05759
HYDAh	rxn05759
HYDAm	rxn05759
HYNE	rxn00201
HYPOE	rxn01808
EX_iamac_e	rxn13315
IAMACt	rxn13315
EX_iamoh_e	rxn13316
IAMOHt	rxn13316
IAMOHtm	rxn13316
EX_ibutac_e	rxn13318
IBUTACt	rxn13318
EX_ibutoh_e	rxn13319
IBUTOHt	rxn13319
IBUTOHtm	rxn13319
ICDHhr	rxn00198
ICDHym	rxn00198
ICDHyp	rxn00198
ICDHyr	rxn00198
ICDHx	rxn00505
ICDHxm	rxn00505
IMPC	rxn00832
ICHORS	rxn01258
ICHORS_h	rxn01258
ICITt10	rxn05589
ICITt2	rxn05590
ICITt_kt	rxn05590
DM_icit_h	rxn12803
EX_icit_e	rxn12803
ICITt_x	rxn12803
ICITtex	rxn12803
ICITtr	rxn12803
ICITtupp	rxn12803
ICL	rxn00336
ICL_1	rxn00336
ICL_x	rxn00336
EX_id3acald_e	rxn09742
ID3ACALDt	rxn09742
ID3ACALDtm	rxn09742
IDHPOXOX4	rxn02295
IDIh	rxn00830
IPDDI	rxn00830
IPDDIx	rxn00830
IDOND	rxn03953
IDOND2	rxn03954
IDONt2r	rxn08742
IDONt2rpp	rxn08742
EX_idon__L_e	rxn08743
IDONtex	rxn08743
IDS1	rxn04113
IPDPS_syn	rxn04113
IG3PS	rxn03135
IG3PS_1	rxn03135
IMGPSh	rxn03135
IGPDH	rxn02473
IGPDH_1	rxn02473
IGPDh	rxn02473
ILEDHr	rxn09896
ILEOX	rxn01574
ILEabc	rxn05179
ILEabcpp	rxn05179
ILEt2r	rxn05244
ILEt2rpp	rxn05244
ILEt7	rxn05244
ILEth	rxn05244
ILEtm	rxn05244
ILEt4	rxn05241
ILEt_h	rxn05241
ILEt_m	rxn05241
EX_ile__L_e	rxn08747
ILEtec	rxn08747
ILEtex	rxn08747
ILEtmi	rxn08747
SK_ile__L_c	rxn08747
ILEt3pp	rxn13321
ILEt6	rxn13321
IMPHL_1_h	rxn02789
IPPMIb	rxn02789
IMPHL_2_h	rxn02811
IPPMIa	rxn02811
IMPD	rxn00834
IMPDg	rxn00834
IMPDm	rxn00834
EX_imp_e	rxn08749
IMPtex	rxn08749
IMPth	rxn08749
IMPtr	rxn08749
IND3ACt2r	rxn10560
EX_ind3ac_e	rxn09741
IND3ACt	rxn09741
IND3ACtex	rxn09741
IND3ACtm	rxn09741
SK_ind3ac_c	rxn09741
EX_ind3eth_e	rxn13324
IND3ETHt	rxn13324
IND3ETHtm	rxn13324
INDPYRD	rxn01450
INOSR	rxn30488
INOSTO	rxn00880
INOSTt4pp	rxn08752
INSTt4	rxn08752
INOSTtpp	rxn05593
INSTt2	rxn05593
INSCR	rxn05743
INSK	rxn00835
INSKm	rxn00835
EX_inost_e	rxn08755
INOST_Et	rxn08755
INSTtex	rxn08755
MYOIt_h	rxn08755
MYOIt_m	rxn08755
r0826	rxn08755
EX_ins_e	rxn08754
INSt	rxn08754
INStex	rxn08754
INStl	rxn08754
INStm	rxn08754
INSt2	rxn05316
INSt2pp	rxn05316
IPDPS	rxn08756
IPDPth	rxn13332
IPDPtm	rxn13332
IPDPtr	rxn13332
IPDPtx	rxn13332
IPKK	rxn03519
MI13456PK	rxn03519
MI13456PKn	rxn03519
IMPDH_h	rxn03062
IPMD	rxn03062
IPPS	rxn00902
IPPSh	rxn00902
IPPSm	rxn00902
ISETACabcpp	rxn05594
ISTNTabc	rxn05594
EX_isetac_e	rxn08759
EX_istnt_e	rxn08759
ISETACtex	rxn08759
ITCOAL1m	rxn01732
ITCOALm	rxn01731
ITK1K	rxn02490
MI3456PK	rxn02490
ITKK	rxn02489
MI1346PKn	rxn02489
ITKPHn	rxn02458
MI1345PP	rxn02458
ITKPK	rxn02456
K2L4Aabcpp	rxn08760
EX_kdo2lipid4_e	rxn08761
K2L4Atex	rxn08761
KARI_23dhmb	rxn03068
KARI_23dhmp	rxn03435
KARI_23dhmp_1	rxn03435
KARI_3hmoa	rxn02187
KAS10	rxn10026
KAS13	rxn10029
KAS19SA	rxn10863
KAS2	rxn05744
KAS20SA	rxn10864
KAS5	rxn10034
KAS9	rxn10038
KG6PDC	rxn04928
Kt3g	rxn05596
Kt3pp	rxn05596
Kt3r	rxn05596
KYN	rxn00728
KYN3OX	rxn01438
KYNAKGAT	rxn01435
KYNAKGATm	rxn01435
KYNATESYN	rxn02467
KYNATESYNm	rxn02467
DM_k_c	rxn05206
DM_k_g	rxn05206
EX_k_e	rxn05206
Kt1	rxn05206
Ktex	rxn05206
Ktu	rxn05206
Kt2pp	rxn05595
Kt2r	rxn05595
LAAL1	rxn09897
LAAL13	rxn09901
LAAL19	rxn09907
LAAL2	rxn09908
LAAL20	rxn09909
LAAL30	rxn09920
LAAL35	rxn09925
LAAL36	rxn09926
EX_lac__L_e	rxn08795
LACLt	rxn08795
LACLt2	rxn08795
L_LACtcm	rxn08795
L_LACtex	rxn08795
LADGMDH	rxn08773
EX_LalaLglu_e	rxn30261
LALALGLUtex	rxn30261
LALDD	rxn15660
LALDO2	rxn15660
ALCD22_D	rxn01831
LALDO2x	rxn01831
LALDO	rxn02211
LALGP	rxn08775
EX_lanost_e	rxn12860
LANOSTt	rxn12860
LANOSTtr	rxn12860
r0988	rxn12860
LCADi	rxn01053
LCADm	rxn01053
LCADi_D	rxn01273
LCADi_Dm	rxn01273
LCTSabc	rxn05598
LCTSt	rxn08781
LCTStpp	rxn08781
LCTSt3ipp	rxn08779
EX_lcts_e	rxn08780
LCTStex	rxn08780
LCTStg	rxn08780
LCTStl	rxn08780
LCYSTCBOXL	rxn01231
SALADC2	rxn01231
LCYSTabc	rxn05599
LCYSTabcpp	rxn05599
LCYSTintv	rxn43401
EX_Lcyst_e	rxn33226
LCYSTtex	rxn33226
LDH_D	rxn00500
LDHm	rxn00500
LDH_D2	rxn08783
LDH_L	rxn00499
LDH_Lm	rxn00499
LLDHh	rxn00499
r0173	rxn00499
LEUabc	rxn05161
LEUabcpp	rxn05161
LEUt2r	rxn05243
LEUt2rpp	rxn05243
LEUt7	rxn05243
LEUth	rxn05243
LEUtm	rxn05243
LEUt4	rxn05240
LEUt4rpp	rxn05240
LEUt_h	rxn05240
LEUt_m	rxn05240
EX_leu__L_e	rxn08786
LEUt5m	rxn08786
LEUtec	rxn08786
LEUtex	rxn08786
SK_leu__L_c	rxn08786
LEUt3pp	rxn13339
LEUt6	rxn13339
LGNCCOAtcx	rxn18901
LGNCCOAtcx_1	rxn18901
LGNCCOAtx	rxn13409
TTCCOAtx	rxn13409
EX_lgnc_e	rxn09842
LGNCt	rxn09842
LIDOAMH	rxn11828
LIDODM	rxn34683
LIDOMO	rxn11822
EX_lido_e	rxn34425
LIDOt	rxn34425
LIPAabcpp	rxn08787
EX_lipa_e	rxn08791
LIPAtex	rxn08791
LLEUDr	rxn00804
EX_lnlc_e	rxn33504
EX_ocdcya_e	rxn33504
LNLCt	rxn33504
LNLCtexi	rxn33504
LNLCth	rxn33504
OCDCYAt	rxn33504
SK_lnlc_c	rxn33504
r0986	rxn33504
r0987	rxn33504
EX_lnlnca_e	rxn39015
LNLNCAt	rxn39015
r1364	rxn39015
r1365	rxn39015
LPLIPAL1A120pp	rxn08796
LPLIPAL1A180pp	rxn08801
LPLIPAL2A120	rxn08817
LPLIPAL2A140	rxn08818
LPLIPAL2A160	rxn08820
LPLIPAL2A180	rxn08822
LSERDHr	rxn04137
HMR_1516	rxn37501
LSTO1r	rxn37501
LSTO2r	rxn04993
LTHSTRLOR	rxn04993
LTHRK	rxn04386
LYSAM	rxn00321
LYSDC	rxn00322
LYSMO	rxn00312
LYSOXp	rxn00310
LYSOXp_1	rxn00310
LYSRC	rxn00320
LYSabc	rxn05151
LYSabcpp	rxn05151
LYSt2m	rxn08854
LYSt2pp	rxn08854
LYSt2r	rxn08854
LYSt_h	rxn08854
LYSt3pp	rxn05305
LYSt3r	rxn05305
LYSt6	rxn05305
LYStm	rxn05305
EX_lys__L_e	rxn08856
LYSt5r	rxn08856
LYStex	rxn08856
LYStip	rxn08856
LYStn	rxn08856
SK_lys__L_c	rxn08856
LYXt2pp	rxn05692
EX_lyx__L_e	rxn08859
LYX_L_Et	rxn08859
LYXtex	rxn08859
L_LACD2	rxn08792
L_LACD3	rxn08793
L_LACt2r	rxn05602
L_LACt2rpp	rxn05602
L_LACtm	rxn05602
r2516	rxn05602
L_LACt3	rxn10818
LacR	rxn01057
MAAIn	rxn02276
